25.1,94746,562.72
25.1,94746,562.72
25.1,94744,562.9
25.1,94745,562.81
25.1,94746,562.72
25.1,94743,562.99
25.1,94747,562.63
25.1,94748,562.55
25.1,94742,563.07
25.1,94747,562.63
25.1,94744,562.9
25.1,94741,563.16
25.1,94740,563.25
25.1,94746,562.72
25.1,94741,563.16
25.1,94741,563.16
25.1,94742,563.07
25.1,94749,562.46
25.1,94747,562.63
25.1,94743,562.99
25.1,94755,561.93
25.1,94747,562.63
25.1,94753,562.11
25.1,94745,562.81
25.1,94751,562.28
25.1,94744,562.9
25.1,94750,562.37
25.1,94747,562.63
25.1,94747,562.63
25.1,94746,562.72
25.1,94748,562.55
25.1,94744,562.9
25.1,94745,562.81
25.1,94748,562.55
25.1,94749,562.46
25.1,94748,562.55
25.1,94745,562.81
25.1,94747,562.63
25.1,94745,562.81
25.1,94751,562.28
25.1,94748,562.55
25.1,94750,562.37
25.1,94746,562.72
25.1,94744,562.9
25.1,94750,562.37
25.1,94747,562.63
25.1,94749,562.46
25.1,94750,562.37
25.1,94750,562.37
25.1,94748,562.55
25.1,94745,562.81
25.1,94749,562.46
25.1,94746,562.72
25.2,94748,562.55
25.2,94749,562.46
25.2,94752,562.19
25.2,94753,562.11
25.2,94745,562.81
25.2,94751,562.28
25.2,94753,562.11
25.2,94747,562.63
25.2,94747,562.63
